Text,FAKE_label,offensive,topic_assignment,sentiment
@Gandalfkhaki ویروس عرفانی کرونا میخوره تو صورتشون,1,0,9,1
از سوپ آمده تا پیتزا یا خمیر دندان فرقی نداره ولی کلا کرونا ویروس کشنده است,1,0,3,1
. طراحی ویروس کرونا برای ژن ایرانی,1,0,3,1
ویروس کشنده‌تر از کرونا,1,0,0,1
"بدن مقاوم شده و به یه ایمنی طبیعی در مقابل خیلی از عفونت‌ها و ویروس‌ها رسیده ، توی ماجرای کرونا",1,0,7,0
چین بیش از ۳۰۰۰۰ مورد جدید ابتلا به #کووید در روز را برای چهارمین روز متوالی با بدتر شدن شیوع گزارش می‌دهد,0,0,1,1
"دفتر ملی سلامت در چین با اعلام آمار رسمی از موارد ابتلا به بیماری #کووید ۱۹ ، از ابتلای ۳۱ هزار و ۴۵۴ نفر در یک روز در این کشور خبر داد و نوشت",0,0,1,1
پایتخت چین روز دوشنبه هشدار داد که با شدیدترین آزمایش همهگیری کووید مواجه است با افزایش موارد ابتلا به #کووید,0,0,5,1
RT @A_GHATEL ۱۹۸۱: واکسن کووید- ۱۹ محافظت مادامالعمر ایجاد نمی‌کند,0,0,4,1
 @SayedO ۸: با هواپیماها روی سرتان سموم میپاشندو آبتان راآلوده میکنندمیگویند کرونا گرفتیدواکسن که میزنیدمیگویند کرونارفته آلودگی هوا زی… دروغ میگویند,1,1,8,1
RT @Andarzinpo : داروهای ضد انعقاد به مبتلایان کووید ۱۹ با شدت متوسط کمک می‌کند,0,0,1,0
https : / / t . co / GjiS ۲ zcHhJ اثربخشی واکسن‌های سینوفارم علیه سویه‌های کروناویروس,0,0,1,0
سینوفارم برای دانشآموزان,0,0,1,2
#کانادا میلیونها #دوز #واکسن کووید#دور می‌ریزد ؛,1,0,3,1
جالبه همه بیماران #ویروس_کرونا در بیمارستان درگذشتند : / #جهاد_تبیین https : / / t . co / gM ۴ WCL ۴ TQt https : / / t . co / zxalgJfj ۳ q,1,0,2,1
"مدیریت #کووید : ۱. زمانبندی داروهای تببر ۲. تببر ۳. دماسنج ۴. آنتیبیوتیک ( در صورت عفونت باکتریایی به تشخیص دکتر ) ۵. تسکیندهنده گلو ۶. اسپری بینی ۷. مایعات فراوان ( والکترولیت ، در صورت عوارض گوارشی ) ۸. ویتامین ( بیشتر برای تقویت روحیه ) ۹. ضدعفونی‌کننده ۱۰. کنترل آبریزش بینی https : / / t . co / CYB ۳ ArsHpH",0,0,1,0
دوز سوم واکسن کرونا نرخ مرگ را تا ۹۰ درصد کاهش می‌دهد,0,0,1,0
سرعت تکثیر سویه اومیکرون ۷۰ برابر دلتا است,0,0,7,2
خطر قلبی ناشی از واکسن کووید ۱۹ بسیار پایین است,0,0,7,0
"آمار جهانی کرونا ؛ انگلیس ، فرانسه و روسیه پرمبتلاترین کشورهای اروپایی",0,0,6,2
فرانسه با سبقت از انگلیس رکورددار ابتلا در اروپا شد,0,0,6,2
"موج جدید کرونا شروع‌شده ، مواظب خودتون باشید . #کرونا",0,0,9,2
أکثر کشورها برای پیشگیری از انتشار ویروس روز قیامت در کشورهایشان محدودیت‌هایی را برای پذیرش چینی‌ها اعمال کردندhttps : / / t . co / Gv ۷۰ J ۰ rV ۲۰,1,0,4,2
یه ویروس کرونا که به چشم دیده نمیشه دنیارو غبضه خودش کرده !!,0,0,3,1